variance,skewness,curtosis,entropy,Class
1.121806,1.149455,-0.97597,0.354561,0
1.447066,1.064453,-0.895036,-0.128767,0
1.20781,-0.777352,0.122218,0.618073,0
1.063742,1.295478,-1.255397,-1.144029,0
-0.036772,-1.087038,0.73673,0.096587,0
1.384604,1.320874,-1.243653,-0.938386,0
1.111108,0.185881,-0.155217,0.836028,0
0.583612,-1.488408,1.640023,0.28068,0
0.974571,0.653913,-0.499268,0.275752,0
0.387745,1.236571,-0.85168,0.217263,0
0.27834,1.168511,-0.838148,0.183401,0
1.25141,-0.788994,0.231399,0.97825,0
0.51573,0.978394,-0.288662,-0.91377,0
-0.707505,1.520502,0.266586,-0.830637,0
1.045232,1.159682,-1.018723,0.29484,0
1.493024,-0.905392,0.48555,1.270687,0
0.787607,0.194693,-0.238147,0.846494,0
0.130137,0.157655,0.683834,0.853879,0
0.356883,-1.159342,1.611985,-0.436588,0
1.692128,1.551899,-1.334729,-1.385381,0
1.883702,1.017205,-0.932405,0.335473,0
-0.036786,-1.087038,0.73673,0.096587,0
1.232513,1.404462,-1.211832,-1.345338,0
0.17669,1.186851,-0.715042,-0.222947,0
1.407618,1.357555,-1.410511,-1.217306,0
0.095704,-1.264798,1.610593,-0.799831,0
0.24966,-0.965356,0.970201,0.264672,0
-0.287105,1.102548,0.177505,-1.213592,0
2.156986,1.345913,-1.348261,-0.968526,0
1.568365,-0.900091,0.469442,1.086613,0
-0.239941,-0.357995,0.814484,0.640851,0
0.371135,0.290621,0.4434,0.800318,0
1.359443,0.970639,-0.878511,0.109519,0
-0.492252,1.276439,0.07726,-1.748005,0
-0.72137,-0.189755,1.570207,0.856959,0
0.705685,0.770312,-0.511797,0.238194,0
0.793308,0.698349,-0.432646,0.23758,0
1.124375,-0.189049,0.0534,0.936998,0
1.454807,0.216562,-0.813081,0.708577,0
1.072153,1.325817,-1.195724,-1.069514,0
1.315174,1.158983,-1.025895,0.283141,0
-0.225192,1.243985,-1.184188,-2.675229,0
-0.155056,1.256326,-0.420117,-0.367644,0
0.186744,0.667668,0.214897,0.598987,0
0.852427,0.851428,-0.508615,0.797852,0
-0.42954,1.302892,-1.20329,-3.005238,0
0.580832,0.801691,-0.212096,-0.486487,0
-0.42954,1.302892,-1.20329,-3.005238,0
1.223364,0.706104,-0.893829,0.242503,0
0.422688,0.23243,0.34297,0.608838,0
1.368944,-1.160041,0.473017,0.292373,0
1.69906,0.3513,-0.68582,1.048427,0
0.954161,0.665197,-0.443782,-0.144147,0
0.744359,0.720575,-0.593745,-0.021637,0
1.580963,0.609119,-0.8994,0.326236,0
1.545808,-0.190813,0.055582,1.132798,0
0.749462,0.827446,-0.468246,0.751062,0
1.890845,0.526231,-0.843928,0.776307,0
0.951522,-1.028132,0.736336,1.038586,0
-0.428129,1.608675,-0.411764,-2.789121,0
0.863653,-0.251477,0.741117,0.451221,0
0.02214,0.614403,0.088401,0.342863,0
1.345965,1.597749,-1.274685,-1.501749,0
0.47864,-0.518118,0.034298,0.443218,0
1.748361,0.201392,-0.592144,1.312587,0
0.740031,0.115333,0.161583,0.66302,0
1.468004,-1.02249,0.315907,0.719661,0
0.700196,1.29725,-1.039009,-0.753694,0
0.199585,0.999206,-0.389888,-0.69951,0
-0.109256,1.203777,-0.54143,-0.591142,0
1.23839,-0.72903,0.227825,0.797238,0
1.30328,-0.243718,-0.070704,1.437572,0
1.507663,1.379423,-1.240868,-1.269633,0
1.313168,-0.915619,0.521155,1.085375,0
1.398152,1.531445,-1.386836,-1.540506,0
0.659059,0.27511,-0.190815,0.76707,0
1.182297,1.033414,-0.915717,-0.323935,0
-0.135326,0.719518,0.089399,0.224034,0
-0.065237,0.975224,-0.094959,0.151385,0
0.245613,0.348113,0.464266,0.969013,0
0.833847,1.22106,-1.105831,0.080589,0
1.419723,0.062784,-0.102117,0.962856,0
1.613373,1.137814,-1.00619,-0.04254,0
0.504153,0.997791,-0.379745,-0.843588,0
0.989281,0.802407,-0.471625,0.981326,0
1.26538,0.128389,-0.13712,0.908677,0
-0.550734,-0.003179,1.424238,1.053998,0
0.155643,0.833786,-0.128967,0.485703,0
1.297086,-0.804164,0.156221,0.88836,0
1.185535,-0.188696,0.163973,1.055188,0
0.36839,0.974167,-0.971398,0.075018,0
1.277204,0.283224,-0.156013,0.755371,0
1.362786,1.071169,-0.970191,-0.115198,0
0.709028,-1.404463,1.52388,0.665482,0
0.998711,-0.023633,0.166759,0.859421,0
-0.379507,-1.112776,1.61296,-0.722888,0
0.886984,-0.144259,-0.174507,0.993024,0
0.608033,-1.500408,1.567631,0.528799,0
1.191622,1.534973,-1.255397,-1.826806,0
-1.117502,1.616089,0.265007,-2.089108,0
1.032177,-1.211533,0.532876,0.02331,0
1.451922,-0.740331,0.288658,1.337203,0
1.646592,-0.412664,-0.178485,1.100135,0
1.022605,-1.114191,0.599907,0.454302,0
1.326294,-0.288865,-0.101323,1.030582,0
1.094428,-0.116391,0.139115,1.593315,0
0.661522,1.49018,-1.143431,-1.702439,0
-0.8066,1.016489,-0.710678,-0.307937,0
0.940367,1.298648,-1.311659,-1.338577,0
0.873611,1.518389,-1.100469,-1.395237,0
1.252219,-1.089152,0.54144,0.515252,0
0.381551,0.64297,-0.302384,0.554658,0
0.985797,1.316647,-1.068834,-0.668085,0
1.33196,0.834144,-0.621574,0.929613,0
0.474418,0.851428,-0.620182,-0.182952,0
0.738764,0.168939,-0.515179,0.509096,0
1.218683,0.93643,-0.747861,0.634081,0
0.589172,0.830616,-0.364034,0.800933,0
0.866785,-0.207038,0.207121,1.455998,0
0.174529,-0.974867,0.753233,0.426596,0
1.066417,1.494049,-1.115185,-1.389048,0
1.280055,1.445386,-1.292765,-1.698154,0
-0.665418,1.22706,0.080046,-1.872372,0
-0.683118,8e-06,1.334345,0.991796,0
-0.475385,1.374838,-0.050419,-1.921033,0
0.900954,0.899749,-0.606464,0.720275,0
-0.97713,1.879908,0.448159,-2.262088,0
1.17818,-0.819333,0.199183,0.492474,0
1.490349,-0.104408,-0.311532,1.476329,0
1.067156,-0.138259,0.080046,1.204837,0
0.997972,-1.067641,0.531692,0.425363,0
1.65268,1.150171,-0.995467,-0.150908,0
0.556058,0.71916,-0.236358,0.83849,0
5.8e-05,0.616534,0.147471,0.374878,0
-0.518641,1.274325,-0.124789,-1.972122,0
1.311444,1.584693,-1.163114,-1.376144,0
1.760995,1.28595,-1.471368,-1.299153,0
1.618124,1.070453,-0.933797,0.075018,0
1.691952,1.468652,-1.280046,-1.470324,0
-0.225192,1.243985,-1.184188,-2.675229,0
0.583225,-0.166829,0.731949,1.154939,0
0.456752,-0.386916,0.64823,0.095359,0
1.316054,0.240544,-0.654997,0.855112,0
1.227938,-0.881052,0.478193,0.965937,0
1.201511,1.403047,-1.219398,-1.443232,0
0.030181,-0.883882,0.392686,0.098444,0
1.205135,-0.193987,-0.068314,1.377198,0
0.463051,-0.357642,0.878521,1.18265,0
1.123952,-0.160127,-0.164564,0.869272,0
0.811255,0.933958,-0.307753,-0.637327,0
1.446643,1.07468,-0.885288,-0.188475,0
-0.771938,1.704262,0.296619,-1.01533,0
1.631179,-0.291333,-0.277326,1.143273,0
1.064622,1.566353,-1.300123,-1.857611,0
0.528575,1.064112,-0.329828,-0.508008,0
0.722189,-0.497312,0.915124,0.493707,0
0.699879,-1.107492,1.055916,0.669791,0
1.23663,-0.97064,0.344757,0.576822,0
0.643857,-1.092322,0.524125,0.275752,0
0.324755,0.394321,0.170936,0.720275,0
1.622769,0.336471,-0.656389,0.97825,0
1.096575,1.141001,-1.085545,-0.004401,0
-0.091591,1.013677,-0.262012,-1.236351,0
0.692208,1.267609,-1.10344,-1.0289,0
1.56643,-0.05503,-0.324459,1.348297,0
1.322775,-0.884581,0.275336,0.671024,0
0.240299,1.146643,-0.547794,-0.294986,0
0.207537,0.848598,-0.790034,-0.724126,0
-0.787104,1.697563,0.150442,-1.943173,0
-0.111322,0.742085,-0.684033,-0.610854,0
0.048163,-0.331887,-0.036098,0.299754,0
1.274389,-0.746672,0.204939,1.058902,0
-0.74917,-0.146014,1.724926,1.019502,0
-0.546511,1.500748,0.161583,-2.122961,0
0.508904,0.093464,0.254261,0.746753,0
1.108222,-0.974867,0.473829,0.507867,0
-0.085485,1.228475,-1.18897,-2.204856,0
1.134685,0.641573,-0.722608,0.454302,0
-0.198884,-0.630631,1.609386,0.735055,0
0.689287,1.342385,-1.029075,-0.776453,0
0.425398,0.186222,-0.271359,0.497397,0
-0.194095,-0.59678,1.539384,0.554042,0
-0.397454,1.141001,0.103116,-1.49375,0
0.88269,0.935373,-0.551176,0.146457,0
-0.77053,1.708489,0.39387,-1.764622,0
-0.593806,1.52686,0.123797,-1.491274,0
0.994031,-1.088095,0.558151,0.495554,0
0.491836,0.757613,-0.332812,0.590983,0
1.453611,-0.945959,0.341369,0.699345,0
0.81034,-1.185438,1.221591,0.291759,0
0.174529,-0.974867,0.753233,0.426596,0
1.243105,1.405518,-1.279048,-1.625496,0
0.360367,-0.342123,0.645445,0.848956,0
1.546055,0.195392,-0.16516,0.951777,0
-0.976426,1.782208,-0.160985,-3.043424,0
-0.8066,1.016489,-0.710678,-0.307937,0
1.30613,0.909277,-0.768935,0.157542,0
0.521502,0.708933,-0.269372,-0.390403,0
1.26253,-0.701179,0.247692,1.11061,0
1.918716,0.673668,-0.978152,0.424134,0
-0.887994,1.51769,0.223438,-1.060896,0
1.255879,-0.9403,0.501263,0.695036,0
-0.429537,1.302892,-1.20329,-3.005238,0
1.316793,1.421387,-1.219189,-1.482656,0
0.140473,0.957582,-0.173514,0.126755,0
1.539193,0.052898,-0.385513,1.307016,0
1.714649,0.570325,-0.995258,0.31639,0
0.748406,1.252099,-1.157938,-0.07825,0
0.588433,0.968525,-0.435232,-0.311603,0
0.611728,-0.453577,0.944554,0.222805,0
1.35698,1.237287,-1.393614,-1.492512,0
1.084504,1.409047,-1.316834,-1.802808,0
0.767232,1.037301,-1.189155,-0.054871,0
0.086966,0.068784,0.814879,0.829253,0
1.324007,-0.200689,-0.131153,0.925918,0
1.991101,0.178109,-0.632321,1.260212,0
0.313072,0.234203,-0.269569,0.510329,0
0.314128,-0.151656,0.988514,0.370569,0
-0.211521,0.972411,-0.044454,-1.15817,0
-0.610099,1.422461,-1.009787,-2.224568,0
-0.935993,1.809718,0.358869,-1.111366,0
0.698823,0.774539,-0.500064,0.675947,0
0.234,-0.218676,1.065665,0.289912,0
1.482432,1.467595,-1.388623,-1.435233,0
-0.279448,0.373868,0.398442,0.390271,0
0.324614,0.22009,0.684438,0.941926,0
0.048163,-0.331887,-0.036098,0.299754,0
-1.084424,1.400235,-0.633319,-2.0374,0
0.945962,-0.862354,0.122613,0.389038,0
1.780842,-0.063842,-0.314714,1.485566,0
-0.623788,-0.063126,1.319027,1.058283,0
-0.974702,1.71096,0.391294,-2.024449,0
0.64252,-0.333305,0.774725,0.435214,0
0.012413,-0.435589,1.389632,0.741211,0
0.807912,0.161541,-0.205732,0.81017,0
0.567565,0.018348,0.180685,0.527568,0
-0.619741,1.29125,0.242122,-1.941316,0
1.216431,-0.694481,0.286082,1.093374,0
1.254753,-0.17353,-0.052995,1.371675,0
0.690237,1.293006,-1.06208,-0.865109,0
0.998219,0.853899,-0.567077,0.679028,0
-0.642861,-0.060671,1.425236,0.940692,0
0.424694,0.277224,-0.000285,0.393961,0
0.823677,0.841201,-0.572067,0.603297,0
0.702026,1.271496,-1.078188,-0.125054,0
1.330059,-0.805936,0.142504,0.88836,0
0.427017,-0.245483,0.776907,1.150653,0
0.572175,-0.496959,0.885299,0.427824,0
-0.01898,-0.206677,-0.148644,0.355795,0
0.204018,1.113491,-0.712465,-0.423685,0
1.45523,-1.087038,0.412972,0.569434,0
0.049574,1.39565,-0.717038,-1.523889,0
0.049148,1.2394,-0.535465,-0.323935,0
1.707787,0.227487,-0.642858,1.122942,0
1.258554,1.488765,-1.285013,-1.844042,0
1.30511,-0.954771,0.564117,1.343345,0
0.935933,-0.824975,0.191617,0.673486,0
0.622743,0.694122,-0.201357,0.972093,0
1.164878,-0.192224,-0.10192,1.047189,0
0.914643,0.063483,0.166155,0.734436,0
1.175118,0.900806,-0.714647,0.116289,0
0.957856,0.165069,-0.185843,0.947463,0
0.484799,0.968883,-0.551572,-0.60714,0
1.60264,0.900448,-1.086752,0.014692,0
0.721134,0.799935,-0.508418,0.134759,0
0.408296,0.474381,-0.005066,0.606375,0
-0.158298,1.333931,-0.288662,-0.200807,0
1.202039,1.341686,-1.287798,-1.555314,0
0.174529,-0.974867,0.753233,0.426596,0
1.583708,0.083238,-0.365227,1.340869,0
1.199259,1.38048,-1.315442,-1.77324,0
1.744631,1.375895,-1.208257,-1.034423,0
1.398257,-0.339654,0.149467,1.106325,0
0.795596,0.830974,-0.417931,0.78123,0
1.703846,-0.304031,-0.296219,1.111848,0
1.054804,0.739972,-0.777291,0.395195,0
1.273263,-0.355878,-0.219057,0.811398,0
0.327289,-1.141701,1.629486,-0.329458,0
0.162551,0.997791,-0.962044,-0.354074,0
0.525302,0.99428,-0.363438,-0.897725,0
-0.078813,-0.406315,1.468988,1.000414,0
1.278893,-0.828146,0.186046,0.805856,0
0.859782,-1.01966,0.517186,0.412435,0
-0.039214,-0.480736,1.552915,0.896978,0
-0.610099,1.422461,-1.009787,-2.224568,0
0.471884,-1.424218,1.567236,0.139687,0
0.319582,-1.081396,1.55331,-0.258657,0
0.162692,1.470067,-0.653395,-1.352719,0
0.002644,0.174938,0.678868,0.908063,0
0.988295,0.733631,-0.296019,-0.121387,0
0.750975,0.271224,-0.181867,0.373645,0
-0.932192,1.711318,-0.306163,-3.13946,0
1.302435,0.715291,-0.888259,0.474004,0
0.527941,-0.327662,0.79341,0.40566,0
0.729509,-0.130146,0.586584,0.62731,0
0.602685,0.708575,-0.4585,-0.494486,0
-0.13434,0.874353,-0.801151,-0.932816,0
0.294492,1.041886,-0.370002,-0.474774,0
0.249589,-0.185522,0.941769,0.296068,0
0.654203,1.212947,-1.076795,-0.051158,0
-0.036786,-1.087038,0.73673,0.096587,0
0.893177,0.837672,-0.387105,0.90683,0
0.440283,1.163568,-0.617791,-0.092438,0
-0.827467,1.664769,0.2664,-0.99257,0
0.68239,1.457369,-1.022715,-0.95686,0
0.209262,1.337101,-0.642069,-0.282654,0
-0.056031,1.243627,-1.087147,-1.739387,0
0.411533,-1.143473,1.652951,-0.442159,0
1.471734,1.407291,-1.303512,-1.539268,0
1.342165,0.984036,-0.96722,0.054735,0
1.26253,-0.787937,0.254864,0.741825,0
1.617314,-1.174853,0.488544,0.454302,0
0.406959,0.063483,0.427687,0.655016,0
0.595999,0.557627,-0.741501,0.007312,0
0.262997,1.101491,-0.801755,0.137225,0
-0.036786,-1.087038,0.73673,0.096587,0
1.865614,0.572439,-0.848894,0.603297,0
0.787572,0.63663,-0.155018,-0.141671,0
0.403334,-1.130059,1.513528,-0.170001,0
0.885435,0.055727,-0.012029,0.549732,0
0.030181,-0.883882,0.392686,0.098444,0
1.161781,1.307119,-1.23033,-1.027043,0
-0.762964,0.016218,1.477134,1.012727,0
1.214144,1.381537,-1.236504,-1.376144,0
1.088059,-0.108993,0.123008,1.424002,0
1.415043,0.098049,-0.085025,1.028734,0
-0.209315,-1.429161,1.615351,-0.157097,0
1.331115,1.284893,-1.468373,-1.925937,0
1.084364,0.835201,-0.480774,0.344091,0
0.445175,0.16824,0.349724,0.619921,0
0.220628,0.090652,0.260226,0.486317,0
0.565982,-0.115692,0.654404,0.997952,0
1.099918,-0.104749,-0.024748,1.355677,0
0.903382,0.663083,-0.842117,0.250507,0
1.23012,-0.087125,0.095155,0.994872,0
1.067297,-1.021791,0.670906,1.301493,0
1.243,0.340716,-0.160588,0.727665,0
0.205989,0.069482,0.820658,0.962242,0
0.186649,0.629573,0.189435,0.507867,0
0.488001,0.823917,-0.322072,0.755371,0
1.604153,1.012961,-0.870178,0.224648,0
-0.568012,1.634072,-0.288265,-2.679562,0
1.266542,-0.288159,-0.117631,1.130322,0
0.079686,1.442915,-0.650007,-1.296725,0
1.113571,0.88775,-0.626936,0.668558,0
-0.8066,1.016489,-0.710678,-0.307937,0
1.289169,-0.247598,0.062545,1.003494,0
1.019157,-0.17212,0.042468,0.754757,0
0.941352,0.202806,-0.136721,0.773841,0
-1.660834,1.125132,0.404222,0.131064,0
-0.59349,1.411518,0.181288,-2.100773,0
0.030181,-0.883882,0.392686,0.098444,0
-0.036786,-1.087038,0.73673,0.096587,0
0.160109,0.583365,0.150256,0.475233,0
1.095132,1.26974,-1.260944,-1.316389,0
-0.228856,1.041528,0.113074,-1.282536,0
0.804745,1.220361,-1.092903,0.106438,0
0.97524,1.153341,-0.998252,0.195099,0
0.794575,1.515917,-1.090326,-1.474657,0
-0.970514,1.635486,0.098753,-1.991834,0
0.803161,-1.043642,0.648439,0.648241,0
1.038476,0.22926,-0.113256,0.687032,0
0.461503,0.490965,0.16019,0.865577,0
0.834445,-0.229258,-0.012818,1.145083,0
1.882153,0.623232,-0.883501,0.540497,0
1.219739,-0.032104,0.047226,1.02812,0
1.085666,0.751614,-0.737323,0.557736,0
0.983791,0.99145,-0.412163,-0.642231,0
1.078487,0.211619,-0.271758,0.488779,0
0.619717,-0.092767,-0.055571,0.975788,0
0.640056,1.370611,-1.061291,-0.858348,0
1.308769,-0.998508,0.340185,0.558968,0
0.108855,1.576239,-0.645249,-1.371812,0
0.519672,1.18438,-0.867184,0.207412,0
-0.682414,-0.31567,1.269705,0.326236,0
0.054412,1.50852,-0.646641,-1.493131,0
0.984108,1.008376,-1.144824,-0.011162,0
-0.853684,1.658769,0.291653,-1.913605,0
0.85109,1.208004,-1.197325,-1.021519,0
1.35251,0.097691,-0.211697,0.739364,0
0.378701,-0.320961,1.122344,0.422901,0
1.754238,1.401649,-1.272294,-1.19388,0
0.150713,0.131917,0.67151,0.82802,0
1.188702,1.401649,-1.263544,-1.605165,0
0.040129,1.440801,-0.68264,-1.414902,0
0.682003,0.949128,-0.32068,-0.261752,0
-1.030724,1.572353,0.124795,-1.081846,0
1.478807,-0.781238,0.333802,1.138321,0
-0.945353,1.637958,0.276728,-0.991333,0
1.183951,1.448914,-1.28998,-1.800332,0
-0.280296,1.085265,-0.770328,-1.019663,0
0.595682,0.844729,-0.220447,-0.490772,0
0.152592,0.620761,0.064727,0.487546,0
1.178637,1.385781,-1.226547,-1.211735,0
-0.948731,1.737772,-0.257439,-3.12651,0
0.291325,0.427473,-0.633899,-0.266656,0
0.790423,0.206676,-0.245307,0.845875,0
-0.292743,0.691292,-0.001492,0.014073,0
1.393507,-0.266644,0.149467,1.13894,0
0.892332,0.63063,-0.260422,0.017168,0
0.306562,-0.354116,1.182203,0.20864,0
0.625875,-1.322989,1.478736,0.161236,0
0.538745,0.854956,-0.190418,0.883432,0
0.933469,-0.768182,0.193404,0.714738,0
-0.01898,-0.206677,-0.148644,0.355795,0
0.054926,0.938185,-0.037676,-0.841731,0
-0.10061,1.026716,-0.075068,-1.023329,0
-0.174457,0.728688,-0.069312,0.028881,0
1.333438,-0.134731,-0.156809,1.02504,0
0.073622,0.882824,-0.243318,0.370569,0
0.530405,-0.248656,0.754231,1.085375,0
1.256618,-0.249362,-0.008246,1.337822,0
1.176385,1.339214,-1.231328,-1.114461,0
1.070886,-0.353763,0.262825,1.73368,0
0.544762,1.251042,-1.141621,-0.323935,0
1.185394,-0.987224,0.614227,1.021349,0
1.37753,1.565654,-1.272689,-1.458039,0
0.252686,-0.091352,0.89941,0.360099,0
-0.595179,-0.056785,1.30213,0.769532,0
0.536105,-1.199551,1.67463,-0.113341,0
-1.026747,1.745169,0.330228,-1.214211,0
-0.557209,-0.106863,1.463023,0.865577,0
1.549433,1.379065,-1.327975,-1.493131,0
-0.195548,1.173437,-0.104902,-1.445089,0
0.531073,0.762539,-0.302981,0.844032,0
0.460377,-1.147343,1.582137,-0.416257,0
-0.688291,1.520144,0.321478,-1.383524,0
-0.610099,1.422461,-1.009787,-2.224568,0
1.052482,-0.352704,-0.137916,0.706115,0
0.744817,-1.171683,1.154769,0.369336,0
0.399533,0.754085,-0.36682,-0.580048,0
0.307899,0.511419,0.140113,0.672253,0
1.66936,1.075396,-1.078977,-0.179857,0
0.631751,1.314176,-1.046761,-0.725983,0
1.827574,1.391422,-1.320827,-1.248683,0
0.274504,1.172039,-0.827402,0.214183,0
-0.01898,-0.206677,-0.148644,0.355795,0
0.037922,0.700462,0.066119,0.347786,0
1.273404,0.640516,-0.781469,0.579901,0
1.511322,0.031387,-0.390088,1.311349,0
1.056458,-0.214797,0.163973,1.46833,0
0.152874,1.418217,-0.670501,-1.341053,0
1.029397,1.343101,-1.211228,-1.200641,0
1.138908,0.182694,-0.126778,0.713505,0
0.317119,0.715291,-0.216471,0.804627,0
0.969469,-0.909619,0.319505,0.470924,0
0.710471,0.177768,-0.277922,0.540497,0
1.224032,0.179165,-0.10888,0.855726,0
1.232583,1.477123,-1.18897,-1.486322,0
1.234343,-0.888467,0.410767,1.084756,0
1.14665,-1.002377,0.683834,1.21098,0
1.846506,1.000978,-0.947538,0.126755,0
0.118768,1.22106,-0.609435,-0.146622,0
1.105794,1.338516,-1.248039,-1.081846,0
0.411111,0.716348,-0.201554,0.79539,0
0.786305,1.413632,-1.123146,-1.340434,0
0.551413,-0.009878,0.290469,0.792929,0
0.073341,0.205619,0.67209,0.875429,0
1.390375,-0.851429,0.381731,1.174032,0
0.119897,1.215776,-0.883501,-0.093676,0
0.187212,1.102906,-0.640282,-0.130577,0
0.936425,1.160756,-0.997648,0.107052,0
